unique_id,stability,lumpiness,hurst,flat_spots,entropy,crossing_points
1732.0,0.008814102564102562,0.008814102564102562,,33,0.8957674418210272,4
1733.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1734.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1735.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1736.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1737.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1738.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1739.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1740.0,0.016025641025641028,0.016025641025641028,0.6597680651425647,18,0.8683129936811036,17
1741.0,0.022435897435897436,0.012286324786324784,,45,0.8146656399356341,7
1742.0,0.03285256410256411,0.01967592592592593,,19,0.8953946460058672,18
1743.0,0.02243589743589744,0.016025641025641024,,8,0.8789767477204694,20
1744.0,0.0,0.0,,55,-0.0,0
1745.0,0.016025641025641028,0.016025641025641028,,10,0.782318517512676,18
1746.0,0.05689102564102564,0.018963675213675212,0.7234132936796237,11,0.8635589887649964,20
1747.0,0.05689102564102564,0.018963675213675212,0.7234132936796237,11,0.8635589887649964,20
1748.0,0.0,0.0,,55,-0.0,0
1749.0,0.016025641025641028,0.016025641025641028,,10,0.782318517512676,18
1750.0,0.05689102564102564,0.018963675213675212,0.7234132936796237,11,0.8635589887649964,20
1751.0,0.0,0.0,,55,-0.0,0
1752.0,0.0,0.0,,55,-0.0,0
1753.0,0.0296474358974359,0.017539173789173787,,10,0.8073190070323883,24
1754.0,0.0,0.0,,55,-0.0,0
1755.0,0.0,0.0,,55,-0.0,0
1756.0,0.016025641025641028,0.016025641025641028,,10,0.782318517512676,18
1757.0,0.05689102564102564,0.019675925925925927,,14,0.8583482907215667,17
1758.0,0.0,0.0,,55,-0.0,0
1759.0,0.0,0.0,,55,-0.0,0
1760.0,0.016025641025641028,0.016025641025641028,,10,0.782318517512676,18
1761.0,0.12980769230769232,0.021367521367521364,,15,0.8390199298579245,21
1762.0,0.0,0.0,,55,-0.0,0
1763.0,0.0,0.0,,55,-0.0,0
1764.0,0.0,0.0,,55,-0.0,0
1765.0,0.0,0.0,,55,-0.0,0
1766.0,0.037660256410256415,0.021278490028490023,,19,0.8765687290359225,9
1767.0,0.037660256410256415,0.021278490028490023,,19,0.8765687290359225,9
1768.0,0.03685897435897436,0.021545584045584043,,13,0.8519520182569847,10
1769.0,0.03685897435897436,0.021545584045584043,,13,0.8519520182569847,10
1770.0,0.016025641025641028,0.016025641025641028,,28,0.9037768644691393,8
1771.0,0.0,0.0,,55,-0.0,0
1772.0,0.0,0.0,,55,-0.0,0
1773.0,0.0,0.0,,55,-0.0,0
1774.0,0.0,0.0,,55,-0.0,0
1775.0,0.0,0.0,,55,-0.0,0
1776.0,0.0,0.0,,55,-0.0,0
1777.0,0.0,0.0,,55,-0.0,0
1778.0,0.0,0.0,,55,-0.0,0
1779.0,0.0,0.0,,55,-0.0,0
1780.0,0.0,0.0,,55,-0.0,0
1781.0,0.0,0.0,,55,-0.0,0
1782.0,0.0,0.0,,55,-0.0,0
1783.0,0.012019230769230768,0.012019230769230768,,22,0.8915231085588327,6
1784.0,0.0,0.0,,55,-0.0,0
1785.0,0.0,0.0,,55,-0.0,0
1786.0,0.015224358974358974,0.00632122507122507,0.4752276892668721,5,0.8707066268740329,30
1787.0,0.0,0.0,,55,-0.0,0
1788.0,0.0,0.0,,55,-0.0,0
1789.0,0.0,0.0,,55,-0.0,0
1790.0,0.0,0.0,,55,-0.0,0
1791.0,0.022435897435897436,0.016025641025641024,0.42167443925445997,8,0.8183269003079126,20
1792.0,0.0,0.0,,55,-0.0,0
1793.0,0.0,0.0,,55,-0.0,0
1794.0,0.01201923076923077,0.01201923076923077,,20,0.8915231085588323,6
1795.0,0.022435897435897436,0.016025641025641024,0.4333708907357666,8,0.8174376542255902,20
1796.0,0.022435897435897436,0.016025641025641024,0.4333708907357666,8,0.8174376542255902,20
1797.0,0.016826923076923083,0.016826923076923083,0.531736456583741,24,0.8721101613171246,11
1798.0,0.050480769230769225,0.01789529914529914,,10,0.8804253797180811,16
1799.0,0.050480769230769225,0.01789529914529914,,10,0.8804253797180811,16
1800.0,0.050480769230769225,0.01789529914529914,,10,0.8804253797180811,16
1801.0,0.056089743589743564,0.01923076923076923,,11,0.8522334600634438,12
1802.0,0.056089743589743564,0.01923076923076923,,11,0.8522334600634438,12
1803.0,0.0,0.0,,55,-0.0,0
1804.0,0.014423076923076922,0.014423076923076922,,26,0.8894409869345988,8
1805.0,0.014423076923076922,0.014423076923076922,,26,0.8747784634935128,10
1806.0,0.0,0.0,,55,-0.0,0
1807.0,0.07451923076923078,0.018963675213675212,0.6788702271493865,7,0.8756386219014181,24
1808.0,0.03605769230769231,0.016826923076923076,,10,0.7724422372572759,27
